cfips,p,q,d,testset_smaller_smape
26001,3,3,2,0.7889108114460919
26003,2,2,3,1.2103693871313277
26011,2,1,1,0.5594220356761757
26023,3,3,2,0.2986013426260377
26033,3,3,2,0.5493179344456229
26041,2,3,3,0.1881472074399948
26043,1,3,3,0.7941699291339425
26045,1,3,1,0.350113982119672
26047,1,1,2,0.2061984165145375
26049,1,2,3,1.091899315216103
26051,3,3,2,0.7180625706529143
26055,3,2,3,0.1336571224182595
26057,1,2,2,0.6081390632124599
26063,2,2,3,0.3322608132673736
26065,3,2,3,0.3060918071488157
26067,2,1,3,1.0469333996457644
26069,1,3,2,0.5253376929445787
26093,1,3,3,0.5532370728121077
26097,1,1,1,0.4202556268909453
26101,2,1,3,0.1355185322281207
26109,1,3,3,0.5570667175305234
26123,1,3,2,0.5771283509627564
26127,1,1,1,0.1529543362878578
26129,2,3,2,0.2677907475200562
26135,3,1,1,1.115931385231312
26143,3,1,3,0.1395039952803598
27001,1,3,2,1.2664016730365328
27007,3,3,1,0.3642068790497466
27009,2,2,3,0.2362082405830393
27019,1,2,1,0.1786746607533465
27025,2,1,2,0.7579781275238844
27029,2,2,3,1.215013104730975
27033,3,1,3,0.9508429459180936
27039,2,3,1,0.4121466191283849
27047,1,2,3,0.2537080874857075
27049,1,3,3,0.4386643053633242
27051,1,2,3,1.1906532851187217
27053,1,3,1,0.2951098188931087
27057,1,1,2,0.4915201181232088
27065,3,2,3,0.3661493829759759
27069,3,1,3,0.4694622773655671
27075,2,2,1,0.1496777659059149
27077,2,3,3,0.0875128694888429
27085,3,2,3,0.6764330125951649
27091,2,3,1,0.4606953012201198
27093,3,1,2,2.990625153125591
27101,1,2,1,0.483443693406436
27103,1,2,1,0.2279955286816948
27107,3,1,3,1.0046128540790888
27109,3,2,1,0.3690556523794802
27111,1,1,1,0.3261970490706494
27113,1,1,1,0.5269777356054854
27127,3,3,3,0.4261770371217109
27139,3,2,1,0.27182764261373
27141,3,1,3,2.781191788514872
27143,1,3,2,1.1839676819106886
27149,3,1,3,0.6111990993755352
27151,1,3,2,1.1469723375106438
27155,2,2,1,1.231509377460806
27165,1,3,2,0.3398052466777544
28003,2,1,2,0.6882297926598251
28005,3,2,1,0.4931003032526779
28009,2,2,3,1.5995636022144462
28019,1,1,1,0.5766649818450283
28037,2,1,3,2.213562636169896
28039,1,2,2,0.5792203694808626
28051,3,2,2,1.4398633773410976
28053,1,3,2,1.5742631939006344
28055,1,1,1,200.0
28061,1,3,2,1.1021643169884494
28075,1,3,3,0.5090213696084614
28087,1,3,2,0.4736117285187885
28093,1,3,1,0.5100294688299059
28097,2,1,1,1.2986866038188396
28103,1,1,2,1.6246533213993566
28119,2,1,1,1.7430680124625046
28121,3,3,2,0.5115130621814652
28125,1,3,1,0.7755848597416417
28133,3,1,3,1.2255399996200076
28135,3,1,3,0.4718000323127529
28141,3,1,2,0.8280277069217589
28143,2,3,1,1.4521054069310797
28147,3,1,3,0.7936973393111393
28157,2,3,2,0.7041982242607394
28161,3,2,3,1.217722628246384
29001,3,3,3,0.2236622848963626
29009,3,3,2,0.7531567039405509
29013,1,2,3,0.8308730711410546
29017,3,1,3,0.8975763584020314
29021,3,1,1,0.3661475309177902
29023,2,2,3,0.47272763343983
29029,2,2,2,0.2535225029738018
29033,1,3,2,0.3419466475929406
29035,2,3,3,0.8553148876928515
29037,2,3,3,4.721453998475281
29041,1,1,2,3.354365081237512
29045,2,1,2,1.2298847333414968
29049,1,1,1,1.1584557410262872
29055,3,2,2,1.0605801954939176
29059,3,2,2,0.754638932927078
29061,3,3,3,1.0692028768842046
29065,2,2,3,0.3701396352349485
29067,2,3,2,1.2256442286571694
29079,2,3,3,0.7677031523794599
29081,3,3,2,1.402397170647644
29083,3,2,1,0.5669471085873158
29089,3,2,3,1.3072116174890431
29097,1,1,1,2.124556629773364
29105,1,1,2,0.9011213029907604
29107,2,1,2,1.2807765109710068
29115,1,2,1,0.5190101440662485
29121,1,2,2,0.2705409731800959
29133,3,1,3,0.4037975933199645
29143,3,1,3,1.4308393928312677
29145,1,2,1,0.5784198976409137
29149,2,3,1,1.199885040361782
29151,1,2,3,0.2718052354027209
29153,1,1,1,1.3905715943391337
29155,1,1,1,1.1626464353758903
29157,2,3,3,0.4788197710184551
29159,3,3,3,0.9065863221750108
29167,2,1,1,0.3386654373750329
29171,1,3,1,3.4422033202343085
29173,1,1,1,0.690635232595029
29177,3,3,3,0.3646807366107373
29179,3,3,1,0.8193949464425181
29183,1,1,1,0.384497965374861
29187,3,3,2,0.4359687787460374
29203,2,3,1,0.6402931420283307
29205,3,1,2,0.5936702057557011
29223,1,3,2,2.9256838826587166
29227,2,1,2,1.0178823493875744
30001,3,3,2,0.2754022673559369
30009,1,1,3,0.1788424662272917
30019,1,2,3,5.751317380091654
30021,2,1,1,0.6945458690115823
30023,1,1,3,0.6688278053016319
30029,3,2,3,0.3524793112630911
30035,3,2,3,0.2112900354850166
30041,1,2,3,0.2226372658164861
30043,1,3,3,0.6609481309917407
30047,1,2,2,0.5007216592230662
30049,1,1,1,0.5499549076483028
30051,2,2,3,1.5082543257371614
30061,2,2,2,0.5292411962414358
30065,3,3,2,1.7065522270090303
30073,3,1,3,0.4753482919786294
30075,2,2,3,0.7639385619421711
30085,1,1,1,0.6811438499016476
30087,1,2,3,0.8579123088503661
30091,1,3,3,0.8434329867619005
30095,3,3,1,2.8237597222825426
30101,3,1,3,0.6016576595466919
30103,1,1,1,25.477932601075736
30105,2,3,3,0.205336475479533
31005,2,1,1,0.0
31007,1,2,3,2.752765358943446
31011,2,1,1,2.457313988081696
31013,3,3,3,0.7542456801216839
31015,2,1,2,1.7008839307217056
31021,1,3,1,1.1047953079793418
31023,1,3,2,0.6884197914129814
31027,2,3,2,0.3878899470030114
31029,1,1,3,1.4337310513808033
31043,2,2,3,0.5469462819818196
31045,3,2,3,1.0409586928004362
31051,3,3,2,2.432630102973322
31053,3,1,1,0.1666091405923647
31059,2,3,3,0.3854108535806321
31067,2,2,1,0.7793180709968702
31069,2,1,1,2.631577077883707
31071,2,1,3,0.7620225203222049
31077,1,3,2,0.4091476284223102
31085,1,1,1,4.545454371901382
31099,3,1,3,0.9471814350290044
31101,2,2,2,1.2205637842005297
31103,1,3,3,3.1271552007952974
31105,1,2,2,0.767368277689386
31121,3,1,1,0.5710108959428237
31123,2,3,1,0.9861823608586808
31129,1,1,3,1.0904244807555508
31131,1,1,2,0.8043940456107491
31133,2,1,3,0.6083065458280692
31139,2,3,1,0.2434546033911608
31149,2,1,1,0.0040456041824621
31155,2,3,1,0.7822793876769393
31159,3,2,3,0.5089235661998333
31161,3,2,1,0.6310490162691764
31163,1,1,1,0.2867709616645638
31165,3,1,1,1.1127201112260079e-10
31169,2,3,3,0.4229546902567658
31173,2,3,2,0.5987837788218509
31183,3,1,1,0.0005928008639742
32001,1,2,1,0.8560227003607186
32003,1,3,1,0.2901108677214511
32009,2,1,3,3.755651207309935
32015,1,3,3,1.5929042074509878
32019,2,3,2,1.0342442113912282
32021,1,2,1,0.9116241592130838
32510,2,1,1,45.43697289029724
33005,2,3,3,0.3842116761806148
33007,3,3,2,0.8944066939913022
34001,1,2,3,0.8615638130666233
34015,3,2,3,0.3754645960756194
34019,1,3,2,0.4378266538448147
34023,2,3,2,0.4422719431787064
34027,2,1,2,0.0413755686732923
34029,1,3,3,0.920726412557499
34033,1,3,3,0.6165975275133987
34037,1,2,1,0.569390767130036
35001,2,1,2,1.2482010832994277
35003,2,3,1,1.3364558942648617
35005,1,2,3,1.063910450530876
35011,2,3,3,2.846299319688673
35015,1,1,3,0.5894896491484769
35019,3,2,3,1.794181610969347
35021,1,1,1,1.113197078846011
35027,2,3,3,0.1274328563159268
35028,3,3,2,0.3701390136750977
35029,1,3,3,0.8781788863308146
35035,1,2,2,0.2799943374987506
35037,2,2,1,2.6567711949736195
35039,3,1,3,0.4073599459474787
35041,3,1,1,1.133515121350286
35051,2,3,1,0.6536794085482414
36011,3,2,3,1.4159189583486558
36015,3,2,3,0.581694217828749
36021,1,3,1,0.0749458930595765
36029,1,3,2,0.5638851754806997
36033,2,2,1,0.6043699940101168
36045,1,3,2,0.4517004921211755
36053,1,2,3,0.5653311061074655
36055,3,1,2,0.1773300249986309
36057,2,2,3,0.4200435178612015
36069,1,3,2,0.282691884814137
36071,2,2,1,0.293902929099618
36073,3,3,1,1.096376457191933
36075,2,3,2,0.7863575520692122
36081,2,3,2,0.5069116889668717
36097,1,1,1,0.427242125743788
36109,1,1,1,0.2737851731034845
36111,3,3,3,0.2959529061614322
36117,3,1,2,0.3538178158136949
36121,2,2,3,0.218359348752954
36123,1,1,1,0.1760768605111014
37003,2,3,3,0.8233732432490336
37005,1,1,1,0.4661169762702918
37015,2,1,1,1.2880467300253673
37019,1,1,1,0.4057051566966157
37029,2,3,2,0.5378869186748758
37033,1,1,1,0.4774042579803629
37037,1,1,1,0.5196805764275942
37043,2,2,3,1.6327334861047778
37053,1,3,3,1.0379914371244046
37059,2,2,2,0.2996437498117589
37063,2,1,3,0.7597461678040522
37077,1,3,3,0.6116114440317132
37081,3,1,2,0.2572638714564342
37083,1,2,2,0.6915528836685741
37091,2,1,2,0.9901966656855474
37103,1,2,3,2.274014272613338
37113,3,2,2,0.5012477898022504
37121,2,1,1,0.726960508829284
37125,3,3,1,0.3622763669265882
37129,1,3,2,0.3999799871750503
37135,1,3,3,1.1832439128711552
37139,3,3,1,0.5904267255082909
37141,1,1,1,0.5994930192691592
37147,1,3,3,0.4176730772984182
37151,3,1,3,0.990542391666335
37153,2,2,3,0.8730162357614643
37165,3,1,3,1.375594306416999
37167,1,1,3,0.1908217182148539
37171,2,3,1,1.063864669778315
37175,2,2,1,1.3739513142110795
37181,2,2,1,0.6537050696808511
37183,1,1,3,4.65591744431702
37185,3,3,3,1.0347053442848275
37197,2,1,3,0.1530586864420672
37199,2,3,3,0.4462831439709787
38009,2,2,1,0.332286183279888
38011,3,2,2,0.7514416994823131
38015,3,3,2,0.307097502401698
38019,2,1,1,0.5297823308421971
38021,1,1,3,4.748243974626254
38027,1,1,2,1.088090736908611
38031,1,3,1,0.6067293961806784
38033,2,1,1,1.1313636104094391
38035,1,2,3,0.7815564128932784
38039,1,2,1,2.4526583201892147
38043,3,1,1,3.564904516796868
38047,2,1,1,4.425949808196438e-09
38057,3,1,3,0.4415956383319815
38065,1,1,1,1.1636491351065263
38069,1,2,3,3.03385152134779
38071,3,2,3,0.2848251280544565
38075,1,3,1,1.4127675105522848
38087,2,1,2,0.0002403475939543
38091,3,1,3,1.706115035142442
38095,2,2,1,5.7021464251071487e-05
38103,1,1,1,0.9098832787334606
38105,3,2,3,0.4055180357027366
39001,2,2,3,0.613865911834169
39007,1,1,1,0.4275163266407282
39009,3,3,1,0.160217898044686
39013,2,3,3,0.3126057575740866
39029,2,3,3,0.5078583150636895
39037,1,1,2,0.8197686419768742
39041,3,3,1,0.2398559297745255
39047,3,1,3,1.2851953955117137
39049,3,3,1,0.2669380138419809
39053,1,1,1,1.2767101841888626
39067,1,3,1,0.662497637506606
39073,1,1,2,0.4985116372178879
39077,2,1,3,0.6279936053863422
39091,2,1,2,0.4549183058374221
39093,1,2,3,0.1604631264326354
39095,2,2,3,0.7492173442999776
39097,3,2,2,0.2018138083735151
39103,2,3,1,0.3018067115974113
39105,1,2,2,0.9060572558433946
39107,3,2,2,0.4903033599243354
39113,1,1,3,0.3141509404136435
39117,1,2,1,0.7969273808873377
39119,1,2,2,0.4233638434173606
39123,2,2,3,0.2966979660167149
39131,3,1,3,0.9625476939304242
39143,1,3,3,0.4879073884916844
39149,1,1,1,0.5886050602714368
39157,3,1,3,0.8388879223168968
39167,1,1,2,0.2198839686821017
39169,2,3,3,0.3654537295794831
39171,3,3,1,0.8200095804878028
40007,1,1,2,0.5272942873254811
40013,1,2,1,0.226686133204422
40015,1,3,1,0.6162207971790163
40019,2,3,3,0.5224645842565819
40021,3,3,3,0.3225170751740362
40023,3,1,2,0.6779504103411468
40043,1,3,3,1.4500980846982352
40045,3,1,1,2.125881635490251
40047,2,1,2,1.0228599034103774
40053,2,3,1,1.9660238774812928
40059,2,1,3,0.6495727456507735
40063,1,1,3,1.1477374923359722
40069,2,3,1,4.126762264254875
40077,1,3,2,2.3492710971263886
40079,1,1,2,2.2380824899794547
40083,3,3,3,1.3009004695030837
40103,1,3,2,1.1732829112017802
40105,3,3,3,0.6279473075110479
40107,3,1,3,0.5015588348845487
40111,2,3,1,0.8243843503684716
40115,1,2,2,2.320855372223209
40117,1,3,3,1.097556198792826
40137,2,3,2,0.8030150185158976
40139,3,3,2,0.8868627379304025
40141,2,3,2,9.368589028238686
40149,2,1,3,1.7797527716090982
41013,3,2,1,1.0341094750111273
41023,1,3,2,0.4075441277445472
41027,3,1,3,0.4620828957216335
41033,3,3,1,0.5667783188534525
41035,2,3,3,0.3510410119950934
41039,1,2,3,0.293002774222216
41043,3,3,3,0.2291001901354073
41047,2,2,2,0.1527823501451751
41053,3,3,2,0.3893460638485025
